,0,1,2,3,4,5,6
8TRA.ST,-0.73681355,-0.45015812,-0.5234909,-0.44082046,-0.45288682,-0.50030947,-0.584507
ABB.ST,-0.34613487,-0.030189527,-0.105607755,-0.060201775,-0.072508454,-0.16127162,-0.26677823
ACAD.ST,-2.124872,-1.8594979,-1.9111484,-1.8769952,-1.8663906,-1.956386,-2.0548313
ACTI.ST,21.492449,13.285861,15.454704,19.181438,21.658163,26.346395,29.17493
ADAPT.ST,-2.7320678,-2.5166094,-2.5387988,-2.5417516,-2.4993508,-2.6183202,-2.7223804
AF-B.ST,-2.403734,-2.16608,-2.1967745,-2.1996944,-2.1661284,-2.2882905,-2.396517
AJA-B.ST,-2.0521739,-1.8236558,-1.8498656,-1.8565339,-1.8176123,-1.9428002,-2.0514019
ALM-PREF.ST,-3.685774,-3.427701,-3.4674203,-3.4777005,-3.4527254,-3.5852814,-3.7009196
AMAST.ST,189.47986,115.228294,134.33766,167.41556,188.95955,231.49123,257.23145
ARJO-B.ST,-2.3762596,-2.154414,-2.1719368,-2.1989286,-2.1510153,-2.294319,-2.409229
ATCO-A.ST,-0.5620053,-0.2489082,-0.3234366,-0.2777837,-0.28928384,-0.3772383,-0.4820119
AZA.ST,0.19155446,0.33596054,0.33837694,0.35876948,0.42794493,0.33949512,0.25650355
B3.ST,3.7572834,3.8140721,3.80236,4.0197964,4.068949,4.183519,4.195904
BACTI-B.ST,-5.4484906,-5.2203565,-5.2443404,-5.262765,-5.224267,-5.357083,-5.4673986
BERG-B.ST,-0.7654801,-0.8153434,-0.75716335,-0.653312,-0.5297485,-0.50794405,-0.5196458
BETS-B.ST,3.3393679,3.1065714,3.2327507,3.3607972,3.558398,3.6247654,3.6533186
BIM.ST,-2.4718738,-2.9181511,-2.704715,-2.584371,-2.3023756,-2.205271,-2.1334345
BONAS.ST,-2.315429,-2.000353,-2.0688808,-2.0523765,-2.0578818,-2.1730356,-2.2888482
BONAV-B.ST,-1.4826219,-1.1833942,-1.3094493,-1.0584179,-1.1301638,-1.0152923,-1.0341065
BRIN-B.ST,11.839814,10.796551,11.031631,11.903218,12.212442,13.112085,13.578666
BTS-B.ST,-2.5112581,-2.3356771,-2.330556,-2.3694086,-2.298162,-2.4458122,-2.5562048
CAT-B.ST,0.07705548,0.12840249,0.20570417,0.095279984,0.24528168,0.04352112,-0.07379369
CCC.ST,-4.3410416,-3.99542,-4.1391225,-3.8973734,-3.9897344,-3.8873968,-3.9162996
CCOR-B.ST,-4.0046506,-7.2187047,-6.283741,-4.8627234,-3.8111236,-2.0584571,-0.97460276
CIBUS.ST,-0.37721223,-0.11820258,-0.15591422,-0.16407934,-0.13546504,-0.26840782,-0.38484845
