,0,1,2,3,4,5
8TRA.ST,-1.9770206,-1.7513074,-1.4703152,-1.5302548,-0.6709707,0.81515944
ABB.ST,-0.038950227,0.045961503,0.36630002,-0.18905616,0.4070135,1.2235922
ACAD.ST,-0.4442522,-0.31382856,0.007860984,-0.43066797,0.29965767,1.3711284
ACTI.ST,-34.438366,-43.195866,-46.92918,-32.216736,-67.32721,-88.48057
ADAPT.ST,0.2458348,0.30650285,0.5962033,0.050462812,0.45866266,1.0197372
AF-B.ST,0.14662035,0.2394012,0.5545237,0.046314258,0.6531374,1.4943153
AJA-B.ST,-0.9303934,-0.890502,-0.58196783,-1.2152905,-0.7697893,-0.23559731
ALM-PREF.ST,-0.80161184,-0.8596656,-0.5461341,-1.4750189,-1.2988925,-1.2894734
AMAST.ST,-77.742165,-184.42126,-207.83357,-83.932976,-458.6075,-697.14966
ARJO-B.ST,-1.0624884,-1.1130724,-0.8118254,-1.6675979,-1.4944373,-1.4907862
ATCO-A.ST,-0.3806021,-0.30796894,0.0052717193,-0.5539255,-0.006855912,0.7208609
AZA.ST,-0.7374623,-0.4917325,-0.19310933,-0.15636906,0.85255337,2.6297126
B3.ST,1.8221438,1.825664,1.9631138,2.5541008,2.4953456,3.7640157
BACTI-B.ST,-1.7520835,-1.8246619,-1.5319728,-2.4324045,-2.3435552,-2.492521
BERG-B.ST,-0.08023727,-0.033091027,0.11031212,0.68220085,0.7745369,2.0247543
BETS-B.ST,0.9904393,0.89995587,0.9418683,1.8584467,1.3266065,2.214784
BIM.ST,3.389177,3.1734252,3.1390953,4.301998,3.2293725,3.825886
BONAS.ST,-5.8420777,-5.928087,-5.639124,-6.5669775,-6.506509,-6.695956
BONAV-B.ST,1.0278708,1.1716856,1.4034547,1.6843506,2.2430842,3.8354747
BRIN-B.ST,-1.805213,-2.9815428,-3.8357606,-0.3486166,-6.3524857,-8.901484
BTS-B.ST,-2.1940467,-2.1067426,-1.8075656,-2.2798774,-1.7133113,-0.9534819
CAT-B.ST,-1.2049657,-1.021062,-0.71070945,-0.95012873,-0.08839362,1.253084
CCC.ST,-0.2636266,-0.06934496,0.18666355,0.3880543,1.1525654,2.819557
CCOR-B.ST,3.9864812,0.3146924,-2.4024532,7.034583,-10.571811,-20.010653
CIBUS.ST,-1.4202667,-1.5185561,-1.2351425,-2.1975112,-2.2421565,-2.5679672
COIC.ST,-0.5585469,-0.30758774,0.01312266,-0.06819323,1.0037932,2.7870903
CORE-B.ST,-0.8581765,-0.799649,-0.49901727,-1.0520979,-0.57135546,0.027120197
CTT.ST,-2.5289812,-2.3679247,-2.062586,-2.3553772,-1.5648106,-0.3672558
DIGN.ST,0.9363646,1.0189794,1.1771865,1.7020013,1.9169313,3.2238443
ELOS-B.ST,0.899355,0.9845988,1.2974079,0.78212553,1.3609565,2.1416998
ENDO.ST,-37.07096,-50.685513,-55.418644,-35.113194,-87.12334,-118.93887
