,0,1,2,3,4,5,6
8TRA.ST,-11.39169,-12.121981,-11.596047,-12.183751,-11.570166,-12.105863,-12.252443
ABB.ST,-26.917315,-27.506277,-27.05647,-27.553806,-27.040405,-27.487026,-27.605711
ACAD.ST,-24.683565,-25.290447,-24.834259,-25.340605,-24.815218,-25.273535,-25.397326
ACTI.ST,1413.0659,1397.6594,1407.4962,1398.3389,1409.7272,1401.8077,1400.1637
ADAPT.ST,-23.60712,-24.236729,-23.783272,-24.289982,-23.760967,-24.222809,-24.349188
AF-B.ST,-24.509418,-25.117844,-24.656778,-25.16752,-24.639002,-25.099384,-25.22269
AJA-B.ST,-28.180763,-28.759758,-28.30984,-28.805206,-28.29672,-28.737705,-28.85274
ALM-PREF.ST,-37.007656,-37.515476,-37.112167,-37.553925,-37.10357,-37.49266,-37.591812
AMAST.ST,11435.222,11297.053,11379.209,11314.214,11407.943,11355.606,11349.242
ARJO-B.ST,-33.760284,-34.2942,-33.892918,-34.338314,-33.8762,-34.279293,-34.38814
ATCO-A.ST,-26.425287,-27.018244,-26.570627,-27.066938,-26.5527,-27.000944,-27.121477
AZA.ST,-5.025614,-5.7909517,-5.2230177,-5.855393,-5.196547,-5.7725387,-5.930113
B3.ST,69.693054,68.32568,69.352684,68.212524,69.39586,68.36347,68.08437
BACTI-B.ST,-34.635773,-35.16375,-34.762608,-35.206516,-34.747845,-35.146935,-35.253242
BERG-B.ST,59.63512,58.348587,59.30022,58.239815,59.34575,58.3784,58.112953
BETS-B.ST,103.33145,101.6926,102.905235,101.55409,102.96302,101.73075,101.39278
BIM.ST,140.67995,138.73988,140.2061,138.58087,140.26404,138.79721,138.4034
BONAS.ST,-40.42418,-40.904366,-40.53958,-40.94342,-40.525864,-40.889435,-40.98656
BONAV-B.ST,28.266228,27.232647,28.010569,27.147385,28.042656,27.26188,27.051252
BRIN-B.ST,310.49142,306.6483,309.19223,306.62512,309.59616,307.31067,306.7596
BTS-B.ST,-24.159843,-24.771338,-24.30951,-24.821486,-24.29118,-24.753336,-24.877449
CAT-B.ST,-17.900629,-18.56236,-18.06144,-18.61647,-18.041945,-18.542488,-18.676695
CCC.ST,14.103347,13.183798,13.869502,13.106914,13.900147,13.207254,13.018617
CCOR-B.ST,995.96747,986.31995,992.91174,985.97003,993.7156,987.42084,985.78644
CIBUS.ST,-36.13734,-36.663708,-36.27721,-36.70702,-36.26104,-36.6491,-36.753265
COIC.ST,-13.3838215,-14.081862,-13.547881,-14.138041,-13.529132,-14.058681,-14.19917
CORE-B.ST,-24.382559,-24.992857,-24.515429,-25.04015,-24.502861,-24.96812,-25.088453
CTT.ST,-20.702072,-21.341206,-20.860704,-21.394001,-20.840736,-21.323326,-21.453606
DIGN.ST,53.539623,52.30027,53.216263,52.19562,53.25982,52.329285,52.074257
ELOS-B.ST,-23.224457,-23.843313,-23.374603,-23.893866,-23.356443,-23.824608,-23.950052
ENDO.ST,1995.1956,1973.3492,1987.157,1974.6002,1990.5476,1979.787,1977.6678
EOS.ST,237.80551,235.04239,237.01395,234.81761,237.14163,235.1185,234.55527
EPI-A.ST,-29.761871,-30.340786,-29.91264,-30.387934,-29.895905,-30.323519,-30.437452
EPI-B.ST,-29.374699,-29.956812,-29.5262,-30.004196,-29.509409,-29.939407,-30.053951
EQT.ST,-34.730217,-35.26814,-34.884014,-35.31417,-34.86385,-35.257565,-35.36621
